new_name	old_name	kind	subsystem
ble_ro_2ee70	ro_2ee70	global	ble
ble_ro_2ee74	ro_2ee74	global	ble
ble_ro_2f3c4	ro_2f3c4	global	ble
ble_ro_2f3c8	ro_2f3c8	global	ble
ble_ro_2f3cc	ro_2f3cc	global	ble
ble_ro_2f3d0	ro_2f3d0	global	ble
ble_ro_2f69c	ro_2f69c	global	ble
ble_ro_2f6a8	ro_2f6a8	global	ble
ble_ro_2f6ac	ro_2f6ac	global	ble
ble_ro_2f6b0	ro_2f6b0	global	ble
ble_ro_2f80c	ro_2f80c	global	ble
ble_ro_31568	ro_31568	global	ble
ble_ro_31588	ro_31588	global	ble
ble_ro_3158c	ro_3158c	global	ble
ble_ro_31590	ro_31590	global	ble
ble_ro_31594	ro_31594	global	ble
ble_ro_31598	ro_31598	global	ble
ble_ro_3159c	ro_3159c	global	ble
ble_ro_315a0	ro_315a0	global	ble
ble_ro_315a4	ro_315a4	global	ble
ble_ro_315ac	ro_315ac	global	ble
ble_ro_315e4	ro_315e4	global	ble
ble_ro_315e8	ro_315e8	global	ble
ble_ro_315ec	ro_315ec	global	ble
ble_ro_315f0	ro_315f0	global	ble
ble_ro_315f4	ro_315f4	global	ble
ble_ro_315f8	ro_315f8	global	ble
ble_ro_315fc	ro_315fc	global	ble
ble_ro_31600	ro_31600	global	ble
ble_ro_31604	ro_31604	global	ble
ble_ro_31608	ro_31608	global	ble
ble_ro_3160c	ro_3160c	global	ble
ble_ro_31610	ro_31610	global	ble
ble_ro_31618	ro_31618	global	ble
ble_ro_3161c	ro_3161c	global	ble
ble_ro_31620	ro_31620	global	ble
ble_ro_31624	ro_31624	global	ble
ble_ro_31628	ro_31628	global	ble
ble_ro_3162c	ro_3162c	global	ble
ble_ro_31630	ro_31630	global	ble
ble_ro_31634	ro_31634	global	ble
ble_ro_31638	ro_31638	global	ble
ble_ro_3163c	ro_3163c	global	ble
ble_ro_31640	ro_31640	global	ble
ble_ro_31644	ro_31644	global	ble
ble_ro_31648	ro_31648	global	ble
ble_ro_3164c	ro_3164c	global	ble
ble_ro_31650	ro_31650	global	ble
ble_ro_31654	ro_31654	global	ble
ble_ro_31658	ro_31658	global	ble
ble_ro_3165c	ro_3165c	global	ble
ble_ro_31660	ro_31660	global	ble
ble_ro_31664	ro_31664	global	ble
ble_ro_31668	ro_31668	global	ble
ble_ro_3166c	ro_3166c	global	ble
ble_ro_31670	ro_31670	global	ble
ble_ro_31674	ro_31674	global	ble
ble_ro_31678	ro_31678	global	ble
ble_ro_3167c	ro_3167c	global	ble
ble_ro_31680	ro_31680	global	ble
ble_ro_31684	ro_31684	global	ble
ble_ro_31688	ro_31688	global	ble
ble_ro_31c1c	ro_31c1c	global	ble
ble_ro_31c20	ro_31c20	global	ble
ble_ro_31c5c	ro_31c5c	global	ble
ble_ro_31c60	ro_31c60	global	ble
ble_ro_31c64	ro_31c64	global	ble
ble_ro_31c68	ro_31c68	global	ble
ble_ro_31c6c	ro_31c6c	global	ble
ble_ro_31c9c	ro_31c9c	global	ble
ble_ro_31ca0	ro_31ca0	global	ble
ble_ro_31ca4	ro_31ca4	global	ble
ble_ro_31ca8	ro_31ca8	global	ble
